,Date,Time,Open,High,Low,Close,Volume
2000,2011/8/16,0:00:00,1832,1845,1816,1826,1028900
1999,2011/8/17,0:00:00,1822,1834,1805,1824,1209600
1998,2011/8/18,0:00:00,1825,1834,1800,1802,1696800
1997,2011/8/19,0:00:00,1774,1784,1750,1757,2220600
1996,2011/8/22,0:00:00,1756,1777,1742,1743,1618500
1995,2011/8/23,0:00:00,1739,1739,1658,1686,5217300
1994,2011/8/24,0:00:00,1695,1697,1655,1661,3090500
1993,2011/8/25,0:00:00,1677,1728,1674,1700,2406500
1992,2011/8/26,0:00:00,1685,1705,1676,1702,1810200
1991,2011/8/29,0:00:00,1715,1738,1692,1715,2095100
1990,2011/8/30,0:00:00,1749,1812,1746,1783,3313800
1989,2011/8/31,0:00:00,1772,1772,1748,1767,2034100
1988,2011/9/1,0:00:00,1777,1827,1776,1816,2225500
1987,2011/9/2,0:00:00,1796,1819,1788,1798,1471700
1986,2011/9/5,0:00:00,1771,1776,1719,1728,1727500
1985,2011/9/6,0:00:00,1717,1717,1676,1687,2084800
1984,2011/9/7,0:00:00,1722,1745,1707,1743,1330300
1983,2011/9/8,0:00:00,1758,1786,1755,1769,1311400
1982,2011/9/9,0:00:00,1765,1772,1745,1750,1766900
1981,2011/9/12,0:00:00,1710,1713,1691,1696,1754500
1980,2011/9/13,0:00:00,1722,1730,1708,1721,2014700
1979,2011/9/14,0:00:00,1733,1762,1726,1731,1716000
1978,2011/9/15,0:00:00,1780,1817,1778,1806,3187900
1977,2011/9/16,0:00:00,1820,1885,1807,1880,2687200
1976,2011/9/20,0:00:00,1840,1848,1794,1800,2168600
1975,2011/9/21,0:00:00,1808,1815,1784,1792,1672600
1974,2011/9/22,0:00:00,1791,1798,1720,1727,2539800
1973,2011/9/26,0:00:00,1728,1728,1574,1592,5161300
1972,2011/9/27,0:00:00,1630,1640,1596,1618,2839000
1971,2011/9/28,0:00:00,1593,1620,1568,1620,4224900
1970,2011/9/29,0:00:00,1575,1596,1547,1595,4057500
1969,2011/9/30,0:00:00,1581,1597,1565,1577,4105400
1968,2011/10/3,0:00:00,1534,1549,1483,1511,3083800
1967,2011/10/4,0:00:00,1462,1463,1428,1461,2912900
1966,2011/10/5,0:00:00,1461,1463,1411,1420,3660300
1965,2011/10/6,0:00:00,1432,1452,1422,1429,2908000
1964,2011/10/7,0:00:00,1429,1453,1402,1422,4624800
1963,2011/10/11,0:00:00,1448,1468,1437,1463,2830800
1962,2011/10/12,0:00:00,1449,1449,1412,1426,3707000
1961,2011/10/13,0:00:00,1451,1508,1451,1479,4333800
1960,2011/10/14,0:00:00,1486,1538,1481,1501,4320000
1959,2011/10/17,0:00:00,1524,1534,1491,1517,2424600
1958,2011/10/18,0:00:00,1465,1486,1459,1466,1732300
1957,2011/10/19,0:00:00,1483,1489,1447,1450,1410100
1956,2011/10/20,0:00:00,1422,1427,1380,1421,3427700
1955,2011/10/21,0:00:00,1418,1418,1395,1402,1271400
