date,open,high,low,close,volume,
2018/1/4,21520,22130,21520,22130,9518488,22130
2018/1/5,22400,22590,22170,22570,8375809,22570
2018/1/9,23050,23050,22690,22800,7436969,22800
2018/1/10,22760,22830,22620,22690,4290399,22690
2018/1/11,22450,22610,22330,22500,5447518,22500
2018/1/12,22610,22610,22300,22410,5107467,22410
2018/1/15,22720,22750,22470,22520,3809367,22520
2018/1/16,22550,22990,22510,22980,5800826,22980
2018/1/17,22640,22860,22560,22800,7423085,22800
2018/1/18,23300,23300,22510,22610,11266099,22610
2018/1/19,22750,22830,22560,22700,5097080,22700
2018/1/22,22680,22710,22470,22680,3791685,22680
2018/1/23,22930,23320,22910,23300,8610820,23300
2018/1/24,23080,23190,22890,22960,6471311,22960
2018/1/25,22580,22740,22380,22450,7485367,22450
2018/1/26,22590,22670,22270,22320,5632377,22320
2018/1/29,22520,22650,22240,22350,4295415,22350
2018/1/30,22240,22260,21580,21710,9231848,21710
2018/1/31,21530,21880,21360,21360,7485789,21360
2018/2/1,21690,22090,21590,22060,6048229,22060
2018/2/2,21800,21820,21380,21660,7908987,21660
2018/2/5,20870,20920,20510,20570,11093024,20570
2018/2/6,18800,19050,17640,18600,23840295,18600
2018/2/7,19650,19850,18620,18640,14319644,18640
2018/2/8,18780,19220,18640,19050,11952884,19050
2018/2/9,17750,18220,17680,18220,16198014,18220
2018/2/13,18620,18670,17870,17930,11763236,17930
2018/2/14,17950,18140,17420,17770,13933390,17770
2018/2/15,18170,18500,18030,18310,11069294,18310
2018/2/16,18490,18990,18380,18720,11512610,18720
2018/2/19,19030,19490,18950,19480,8973112,19480
2018/2/20,19330,19330,18920,19070,8880709,19070
2018/2/21,19140,19470,18920,19190,11383475,19190
2018/2/22,18830,18880,18550,18750,9048187,18750
2018/2/23,18860,19040,18750,19020,6602391,19020
2018/2/26,19490,19650,19310,19520,7749023,19520
2018/2/27,19900,20130,19800,19920,8577872,19920
2018/2/28,19740,19900,19400,19420,9069978,19420
2018/3/1,19100,19100,18600,18750,10777175,18750
2018/3/2,17850,17970,17640,17800,14945833,17800
2018/3/5,17550,17780,17390,17570,10668046,17570
2018/3/6,18240,18420,18160,18210,8624190,18210
2018/3/7,17940,18310,17820,17900,9868172,17900
2018/3/8,18300,18320,17960,18050,6556552,18050
2018/3/9,18400,18990,18070,18230,15288672,18230
2018/3/12,19030,19140,18630,18910,10323674,18910
2018/3/13,18720,19110,18650,19110,7063796,19110
2018/3/14,18760,18970,18610,18780,7842069,18780
2018/3/15,18650,18870,18390,18840,7636225,18840
2018/3/16,18900,18930,18520,18600,6218596,18600
2018/3/19,18360,18580,18050,18260,7502070,18260
2018/3/20,17940,18100,17830,18090,6729086,18090
