Date,Open,High,Low,Close,Volume
2019/1/4,14900,15080,14610,15060,12823496
2019/1/7,16040,16220,15830,15850,8945681
2019/1/8,16100,16360,15970,16170,8964009
2019/1/9,16380,16600,16320,16480,7607513
2019/1/10,16230,16360,15950,16050,8112991
2019/1/11,16280,16420,16260,16380,6946546
2019/1/15,16130,16720,16090,16660,7416416
2019/1/16,16720,16720,16310,16500,7513724
2019/1/17,16660,16700,16340,16430,6536203
2019/1/18,16570,16900,16520,16880,7421670
2019/1/21,17200,17240,16880,16930,7266121
2019/1/22,17040,17100,16680,16750,5017106
2019/1/23,16520,16910,16490,16740,6139585
2019/1/24,16630,16800,16550,16730,5186471
2019/1/25,16760,17140,16760,17060,6896656
2019/1/28,17010,17020,16780,16820,5885985
2019/1/29,16660,16880,16430,16850,6869175
2019/1/30,16920,16920,16620,16700,5130831
2019/1/31,17150,17190,16880,17040,7069982
2019/2/1,17060,17290,16970,17020,7317230
2019/2/4,17090,17270,17080,17190,4452231
2019/2/5,17330,17350,17100,17110,4353530
2019/2/6,17280,17330,17150,17180,5281766
2019/2/7,17220,17250,16830,16990,5704265
2019/2/8,16590,16670,16260,16300,7440715
2019/2/12,16480,17180,16450,17150,7653456
2019/2/13,17420,17720,17350,17620,8159134
2019/2/14,17620,17760,17530,17600,5548189
2019/2/15,17360,17380,17110,17190,6592279
2019/2/18,17800,17870,17670,17840,7494854
2019/2/19,17790,17940,17710,17880,5362797
2019/2/20,17950,18190,17870,18070,7729133
2019/2/21,18030,18300,17880,18150,6950477
2019/2/22,17990,18120,17940,18080,4324772
2019/2/25,18300,18360,18200,18270,5935587
2019/2/26,18300,18410,18050,18100,5916239
2019/2/27,18220,18350,18210,18340,3651442
2019/2/28,18300,18300,17980,17980,5718121
2019/3/1,18200,18460,18190,18410,6185341
2019/3/4,18750,18850,18630,18790,5562170
2019/3/5,18590,18730,18480,18580,5920584
2019/3/6,18510,18540,18310,18410,3987692
2019/3/7,18150,18170,18050,18120,4608618
2019/3/8,17890,17910,17340,17400,7393189
2019/3/11,17480,17610,17260,17570,5658198
2019/3/12,18070,18310,18070,18220,5394432
2019/3/13,18090,18150,17690,17850,5644734
2019/3/14,18180,18240,17850,17870,5722087
2019/3/15,18010,18230,17990,18140,5027563
2019/3/18,18340,18400,18210,18340,3392649
2019/3/19,18330,18350,18080,18310,4206887
2019/3/20,18270,18390,18190,18350,3994181
2019/3/22,18380,18480,18160,18290,4834302
2019/3/25,17590,17590,17130,17230,9043605
2019/3/26,17610,18080,17600,18000,8227914
2019/3/27,18200,18270,18020,18190,6051983
2019/3/28,17920,17950,17560,17640,9209295
2019/3/29,18030,18090,17850,17920,5692169
2019/4/1,18520,18740,18400,18450,9190828
2019/4/2,18850,18870,18430,18450,6147347
2019/4/3,18540,18820,18420,18780,6544148
2019/4/4,18810,18930,18720,18800,5484910
2019/4/5,18850,19020,18830,18970,5565007
2019/4/8,19140,19160,18850,18900,5260899
2019/4/9,18890,18990,18780,18930,3662096
2019/4/10,18560,18770,18520,18770,4890819
2019/4/11,18710,18830,18660,18780,3954822
2019/4/12,18960,19080,18770,19070,5982242
2019/4/15,19450,19660,19440,19610,6827501
2019/4/16,19540,19750,19520,19700,4359657
2019/4/17,19750,19900,19620,19790,5695412
2019/4/18,19800,19830,19390,19440,5134456
2019/4/19,19720,19730,19590,19650,3040981
2019/4/22,19660,19800,19470,19710,4458556
2019/4/23,19740,19780,19510,19750,3997413
2019/4/24,19920,19940,19530,19640,6246022
2019/4/25,19640,19880,19580,19870,5169960
2019/4/26,19590,19770,19420,19740,6132445
2019/5/7,19540,19570,19070,19150,7978806
2019/5/8,18590,18650,18440,18580,6559058
2019/5/9,18420,18510,18090,18250,7459711
2019/5/10,18250,18560,17840,18180,12956549
2019/5/13,17880,18060,17790,17910,5571179
2019/5/14,17300,17860,17210,17850,6959537
2019/5/15,17920,17970,17730,17900,4720234
2019/5/16,17810,17810,17470,17650,6193376
2019/5/17,17990,18210,17880,18000,7315414
2019/5/20,18070,18280,18040,18100,4675457
2019/5/21,17900,18090,17810,18000,4311140
2019/5/22,18200,18230,18010,18040,4306694
2019/5/23,17860,17910,17670,17790,4577624
2019/5/24,17440,17740,17390,17730,4959757
2019/5/27,17840,17940,17730,17860,2972521
2019/5/28,17890,18040,17870,17960,3083450
2019/5/29,17620,17650,17360,17550,6985495
