,Date,Time,Open,High,Low,Close,Volume
1971,2011/9/27,0:00:00,794,814,782,782,3365000
1970,2011/9/28,0:00:00,684,716,642,642,5842500
1969,2011/9/29,0:00:00,628,680,613,655,1826500
1968,2011/9/30,0:00:00,669,688,639,680,1596000
1967,2011/10/3,0:00:00,680,740,652,710,2521500
1966,2011/10/4,0:00:00,708,800,694,782,2951500
1965,2011/10/5,0:00:00,790,830,760,800,2913000
1964,2011/10/6,0:00:00,816,819,762,762,1107500
1963,2011/10/7,0:00:00,781,796,736,786,671000
1962,2011/10/11,0:00:00,800,803,748,799,659000
1961,2011/10/12,0:00:00,794,798,764,767,305000
1960,2011/10/13,0:00:00,760,768,729,732,496000
1959,2011/10/14,0:00:00,744,773,735,766,632500
1958,2011/10/17,0:00:00,906,906,816,906,3803500
1957,2011/10/18,0:00:00,906,995,886,954,3159500
1956,2011/10/19,0:00:00,980,1016,868,900,2418000
1955,2011/10/20,0:00:00,904,950,874,900,983500
1954,2011/10/21,0:00:00,928,1020,922,1016,2061500
1953,2011/10/24,0:00:00,1020,1050,996,1036,1755000
1952,2011/10/25,0:00:00,1006,1020,971,996,1057000
1951,2011/10/26,0:00:00,1004,1066,978,1054,1528000
1950,2011/10/27,0:00:00,1058,1094,1040,1090,1445000
1949,2011/10/28,0:00:00,1100,1110,1054,1078,796000
1948,2011/10/31,0:00:00,1104,1106,1026,1076,691500
1947,2011/11/1,0:00:00,1036,1066,1000,1000,694000
1946,2011/11/2,0:00:00,964,1018,942,984,728500
1945,2011/11/4,0:00:00,990,1010,914,944,824000
1944,2011/11/7,0:00:00,958,970,920,951,532500
1943,2011/11/8,0:00:00,950,977,926,940,681500
1942,2011/11/9,0:00:00,933,956,930,934,328500
1941,2011/11/10,0:00:00,903,950,882,950,621000
1940,2011/11/11,0:00:00,962,1004,958,994,1076000
1939,2011/11/14,0:00:00,1006,1006,983,999,420000
1938,2011/11/15,0:00:00,980,999,954,958,645000
1937,2011/11/16,0:00:00,954,976,954,968,482000
1936,2011/11/17,0:00:00,968,975,954,968,499000
1935,2011/11/18,0:00:00,951,960,931,948,253000
1934,2011/11/21,0:00:00,934,946,872,900,639500
1933,2011/11/22,0:00:00,891,910,877,900,434500
1932,2011/11/24,0:00:00,886,890,851,860,355500
1931,2011/11/25,0:00:00,846,862,806,814,432500
1930,2011/11/28,0:00:00,820,874,805,874,549000
1929,2011/11/29,0:00:00,897,910,879,894,436500
1928,2011/11/30,0:00:00,890,896,871,882,270500
1927,2011/12/1,0:00:00,900,921,896,906,394500
1926,2011/12/2,0:00:00,920,968,893,907,695000
1925,2011/12/5,0:00:00,900,920,880,920,396000
1924,2011/12/6,0:00:00,1004,1010,920,937,1767000
1923,2011/12/7,0:00:00,937,937,903,908,576500
1922,2011/12/8,0:00:00,899,904,836,843,1152000
1921,2011/12/9,0:00:00,855,868,837,842,379000
1920,2011/12/12,0:00:00,856,878,844,860,480000
1919,2011/12/13,0:00:00,858,916,850,916,1262500
1918,2011/12/14,0:00:00,909,937,890,927,926000
1917,2011/12/15,0:00:00,930,945,890,895,641500
1916,2011/12/16,0:00:00,909,916,862,902,417000
1915,2011/12/19,0:00:00,905,914,841,895,592500
1914,2011/12/20,0:00:00,895,901,873,888,208000
1913,2011/12/21,0:00:00,889,905,868,877,364500
1912,2011/12/22,0:00:00,888,936,883,903,840500
1911,2011/12/26,0:00:00,921,965,911,960,1558500
1910,2011/12/27,0:00:00,970,975,936,949,963000
1909,2011/12/28,0:00:00,954,969,928,953,638000
1908,2011/12/29,0:00:00,953,999,936,977,1176000
1907,2011/12/30,0:00:00,981,984,952,956,979000
1906,2012/1/4,0:00:00,980,1022,980,1008,1839500
1905,2012/1/5,0:00:00,1000,1020,983,1000,1050000
1904,2012/1/6,0:00:00,1012,1052,1010,1046,1762500
1903,2012/1/10,0:00:00,1048,1050,967,982,1446000
1902,2012/1/11,0:00:00,975,992,924,948,1733000
1901,2012/1/12,0:00:00,946,961,930,959,795500
1900,2012/1/13,0:00:00,972,1006,942,964,1706000
1899,2012/1/16,0:00:00,992,1044,936,954,4080500
1898,2012/1/17,0:00:00,968,968,853,870,2412000
1897,2012/1/18,0:00:00,856,873,827,840,1818000
1896,2012/1/19,0:00:00,838,850,772,819,2819500
1895,2012/1/20,0:00:00,819,834,775,808,1671000
1894,2012/1/23,0:00:00,823,864,818,862,1276000
1893,2012/1/24,0:00:00,876,878,826,831,945000
1892,2012/1/25,0:00:00,824,835,792,802,871000
1891,2012/1/26,0:00:00,798,825,793,812,751500
1890,2012/1/27,0:00:00,812,814,773,778,589300
1889,2012/1/30,0:00:00,815,848,801,837,919700
1888,2012/1/31,0:00:00,837,851,812,825,564300
1887,2012/2/1,0:00:00,838,874,818,873,1037500
1886,2012/2/2,0:00:00,885,892,851,865,1001900
1885,2012/2/3,0:00:00,883,928,866,921,1722100
1884,2012/2/6,0:00:00,950,952,923,935,995700
1883,2012/2/7,0:00:00,920,932,903,907,645600
1882,2012/2/8,0:00:00,917,930,880,883,750800
1881,2012/2/9,0:00:00,871,882,862,864,574700
1880,2012/2/10,0:00:00,870,899,861,889,653000
1879,2012/2/13,0:00:00,899,910,890,895,451400
1878,2012/2/14,0:00:00,890,895,861,862,445200
1877,2012/2/15,0:00:00,843,848,808,825,1134200
1876,2012/2/16,0:00:00,826,848,811,813,635800
1875,2012/2/17,0:00:00,822,832,812,827,511600
1874,2012/2/20,0:00:00,832,836,805,805,577200
1873,2012/2/21,0:00:00,794,822,792,817,539000
1872,2012/2/22,0:00:00,827,844,817,842,474800
1871,2012/2/23,0:00:00,853,860,847,853,511600
1870,2012/2/24,0:00:00,846,858,840,851,311900
1869,2012/2/27,0:00:00,855,859,849,857,394400
1868,2012/2/28,0:00:00,854,854,833,841,428800
1867,2012/2/29,0:00:00,844,850,835,840,345000
1866,2012/3/1,0:00:00,841,847,813,813,646100
1865,2012/3/2,0:00:00,811,826,807,812,553300
1864,2012/3/5,0:00:00,823,849,820,847,532500
1863,2012/3/6,0:00:00,855,856,839,845,382000
1862,2012/3/7,0:00:00,830,835,825,825,297000
1861,2012/3/8,0:00:00,825,826,809,812,577400
1860,2012/3/9,0:00:00,820,821,808,814,374900
1859,2012/3/12,0:00:00,824,825,808,810,487700
1858,2012/3/13,0:00:00,808,814,792,805,675300
1857,2012/3/14,0:00:00,808,808,737,750,1349100
1856,2012/3/15,0:00:00,739,740,673,687,2525200
1855,2012/3/16,0:00:00,700,711,690,711,1494500
1854,2012/3/19,0:00:00,726,748,720,731,1169900
1853,2012/3/21,0:00:00,733,737,720,727,435200
1852,2012/3/22,0:00:00,730,747,725,745,474900
1851,2012/3/23,0:00:00,749,781,738,764,810100
1850,2012/3/26,0:00:00,773,784,727,728,712400
1849,2012/3/27,0:00:00,711,720,700,700,646500
1848,2012/3/28,0:00:00,701,736,701,736,333100
1847,2012/3/29,0:00:00,742,755,737,743,343300
1846,2012/3/30,0:00:00,742,748,721,745,248100
1845,2012/4/2,0:00:00,755,761,750,760,323100
1844,2012/4/3,0:00:00,765,766,751,756,320100
1843,2012/4/4,0:00:00,762,780,758,772,573700
1842,2012/4/5,0:00:00,771,771,742,755,441700
1841,2012/4/6,0:00:00,754,756,730,744,373600
1840,2012/4/9,0:00:00,743,759,732,755,219100
1839,2012/4/10,0:00:00,755,756,739,744,245100
1838,2012/4/11,0:00:00,729,744,723,741,224000
1837,2012/4/12,0:00:00,744,792,744,777,808100
1836,2012/4/13,0:00:00,792,799,780,798,894300
1835,2012/4/16,0:00:00,751,770,710,725,1060700
1834,2012/4/17,0:00:00,726,734,700,704,1123700
1833,2012/4/18,0:00:00,707,715,690,695,1244800
1832,2012/4/19,0:00:00,690,692,675,679,830700
1831,2012/4/20,0:00:00,683,705,681,703,705700
1830,2012/4/23,0:00:00,705,711,697,704,514300
1829,2012/4/24,0:00:00,695,699,678,682,559700
1828,2012/4/25,0:00:00,677,678,616,641,1443000
1827,2012/4/26,0:00:00,645,652,615,618,902900
1826,2012/4/27,0:00:00,618,621,591,611,860200
1825,2012/5/1,0:00:00,611,611,565,570,886500
1824,2012/5/2,0:00:00,570,610,570,597,1030800
1823,2012/5/7,0:00:00,497,497,497,497,115400
1822,2012/5/8,0:00:00,500,511,434,474,3767500
1821,2012/5/9,0:00:00,460,493,453,489,1336800
1820,2012/5/10,0:00:00,515,552,508,532,1656800
1819,2012/5/11,0:00:00,540,550,512,517,754300
1818,2012/5/14,0:00:00,617,617,617,617,679800
1817,2012/5/15,0:00:00,597,633,555,613,2402500
1816,2012/5/16,0:00:00,603,630,583,584,944900
1815,2012/5/17,0:00:00,584,606,558,590,769700
1814,2012/5/18,0:00:00,565,588,552,555,769000
1813,2012/5/21,0:00:00,540,552,519,520,512600
1812,2012/5/22,0:00:00,519,538,501,514,638000
1811,2012/5/23,0:00:00,520,527,496,496,489900
1810,2012/5/24,0:00:00,488,504,470,500,807900
1809,2012/5/25,0:00:00,508,508,481,482,350100
1808,2012/5/28,0:00:00,458,461,436,437,914500
1807,2012/5/29,0:00:00,430,482,421,468,885300
1806,2012/5/30,0:00:00,460,468,446,453,422100
1805,2012/5/31,0:00:00,437,444,428,428,500000
1804,2012/6/1,0:00:00,418,434,386,393,910900
1803,2012/6/4,0:00:00,377,440,375,404,1125300
1802,2012/6/5,0:00:00,400,438,400,437,657400
1801,2012/6/6,0:00:00,441,457,431,447,644900
1800,2012/6/7,0:00:00,459,468,450,451,530100
1799,2012/6/8,0:00:00,450,452,431,433,407800
1798,2012/6/11,0:00:00,445,466,437,465,483700
1797,2012/6/12,0:00:00,449,485,448,473,700300
1796,2012/6/13,0:00:00,483,485,469,478,434600
1795,2012/6/14,0:00:00,485,492,475,477,358400
1794,2012/6/15,0:00:00,511,539,502,510,1686100
1793,2012/6/18,0:00:00,540,608,535,594,2432700
1792,2012/6/19,0:00:00,590,593,556,565,1151300
1791,2012/6/20,0:00:00,575,585,555,564,803000
1790,2012/6/21,0:00:00,568,578,556,566,370400
1789,2012/6/22,0:00:00,546,560,546,552,347800
1788,2012/6/25,0:00:00,568,579,560,565,453500
1787,2012/6/26,0:00:00,565,587,561,587,520800
1786,2012/6/27,0:00:00,600,600,577,597,761000
1785,2012/6/28,0:00:00,587,598,576,576,965200
1784,2012/6/29,0:00:00,565,578,560,567,513800
1783,2012/7/2,0:00:00,575,578,561,568,395200
1782,2012/7/3,0:00:00,568,578,558,564,449900
1781,2012/7/4,0:00:00,564,569,535,539,595900
1780,2012/7/5,0:00:00,538,545,524,525,492500
1779,2012/7/6,0:00:00,527,542,525,542,334100
1778,2012/7/9,0:00:00,543,589,541,578,1107300
1777,2012/7/10,0:00:00,586,593,551,558,716500
1776,2012/7/11,0:00:00,555,570,545,570,401600
1775,2012/7/12,0:00:00,577,577,552,560,376000
1774,2012/7/13,0:00:00,554,563,547,563,472200
1773,2012/7/17,0:00:00,503,514,480,482,1788400
1772,2012/7/18,0:00:00,466,497,440,459,1692900
1771,2012/7/19,0:00:00,451,481,450,465,916200
1770,2012/7/20,0:00:00,459,477,451,453,502300
1769,2012/7/23,0:00:00,445,450,420,426,607800
1768,2012/7/24,0:00:00,420,433,403,427,514800
1767,2012/7/25,0:00:00,430,462,422,445,803300
1766,2012/7/26,0:00:00,435,450,432,444,459700
1765,2012/7/27,0:00:00,450,453,416,426,629000
1764,2012/7/30,0:00:00,431,434,406,408,496400
1763,2012/7/31,0:00:00,412,435,410,429,510700
1762,2012/8/1,0:00:00,421,432,416,424,243900
1761,2012/8/2,0:00:00,421,424,417,418,135100
1760,2012/8/3,0:00:00,410,430,410,417,366600
1759,2012/8/6,0:00:00,423,426,414,417,197400
1758,2012/8/7,0:00:00,417,437,417,434,266600
1757,2012/8/8,0:00:00,448,491,446,452,811900
1756,2012/8/9,0:00:00,451,461,442,454,248000
1755,2012/8/10,0:00:00,481,485,466,471,608200
1754,2012/8/13,0:00:00,471,478,464,475,316400
1753,2012/8/14,0:00:00,475,475,455,458,294900
1752,2012/8/15,0:00:00,445,450,421,427,702100
1751,2012/8/16,0:00:00,433,441,430,434,218600
1750,2012/8/17,0:00:00,432,450,432,449,270400
1749,2012/8/20,0:00:00,456,473,452,470,404600
1748,2012/8/21,0:00:00,470,478,463,470,398400
1747,2012/8/22,0:00:00,470,471,458,460,153000
1746,2012/8/23,0:00:00,458,476,450,469,263600
1745,2012/8/24,0:00:00,470,513,465,501,1144200
1744,2012/8/27,0:00:00,520,555,508,532,1599800
1743,2012/8/28,0:00:00,542,555,525,534,766400
1742,2012/8/29,0:00:00,525,530,506,517,425500
1741,2012/8/30,0:00:00,521,522,508,508,245200
1740,2012/8/31,0:00:00,504,507,485,487,384100
1739,2012/9/3,0:00:00,494,514,489,507,250300
1738,2012/9/4,0:00:00,510,517,498,507,242000
1737,2012/9/5,0:00:00,506,510,490,492,205900
1736,2012/9/6,0:00:00,486,500,481,486,160900
1735,2012/9/7,0:00:00,499,499,486,492,232600
1734,2012/9/10,0:00:00,492,517,483,517,350000
1733,2012/9/11,0:00:00,520,532,508,514,507900
1732,2012/9/12,0:00:00,507,523,507,516,256700
1731,2012/9/13,0:00:00,517,542,514,541,881200
1730,2012/9/14,0:00:00,546,547,524,525,586100
1729,2012/9/18,0:00:00,526,532,516,519,383800
1728,2012/9/19,0:00:00,520,528,512,524,463300
1727,2012/9/20,0:00:00,525,550,511,511,1242900
1726,2012/9/21,0:00:00,514,529,514,521,368100
1725,2012/9/24,0:00:00,529,545,521,541,517200
1724,2012/9/25,0:00:00,548,549,530,537,442000
1723,2012/9/26,0:00:00,533,536,524,528,339800
1722,2012/9/27,0:00:00,568,595,556,560,2878700
1721,2012/9/28,0:00:00,564,570,548,566,1011400
1720,2012/10/1,0:00:00,594,625,582,619,2733100
1719,2012/10/2,0:00:00,629,647,601,610,2139600
1718,2012/10/3,0:00:00,624,642,605,613,1887100
1717,2012/10/4,0:00:00,623,628,613,618,713400
1716,2012/10/5,0:00:00,633,663,624,663,1654400
1715,2012/10/9,0:00:00,659,688,636,642,1836900
1714,2012/10/10,0:00:00,625,633,595,602,1327300
1713,2012/10/11,0:00:00,596,638,588,594,1805800
1712,2012/10/12,0:00:00,599,615,568,576,1376400
1711,2012/10/15,0:00:00,580,608,567,607,1000600
1710,2012/10/16,0:00:00,557,592,527,586,3405700
1709,2012/10/17,0:00:00,598,599,555,564,1747700
1708,2012/10/18,0:00:00,568,573,539,547,1419700
1707,2012/10/19,0:00:00,539,553,533,542,1132500
1706,2012/10/22,0:00:00,539,556,538,544,872500
1705,2012/10/23,0:00:00,550,578,544,566,1272700
1704,2012/10/24,0:00:00,567,581,561,563,1229300
1703,2012/10/25,0:00:00,580,626,575,626,3028600
1702,2012/10/26,0:00:00,616,637,601,606,1658400
1701,2012/10/29,0:00:00,603,617,587,590,720500
1700,2012/10/30,0:00:00,590,598,558,559,1073500
1699,2012/10/31,0:00:00,564,584,564,570,743900
1698,2012/11/1,0:00:00,568,576,562,565,418100
1697,2012/11/2,0:00:00,565,567,545,555,907100
1696,2012/11/5,0:00:00,551,554,542,543,601100
1695,2012/11/6,0:00:00,540,570,530,565,1291400
1694,2012/11/7,0:00:00,570,585,559,562,780000
1693,2012/11/8,0:00:00,562,567,545,550,663800
1692,2012/11/9,0:00:00,557,562,543,550,500200
1691,2012/11/12,0:00:00,557,558,535,536,571800
1690,2012/11/13,0:00:00,532,555,531,547,486900
1689,2012/11/14,0:00:00,542,552,537,541,358900
1688,2012/11/15,0:00:00,536,542,533,536,444000
1687,2012/11/16,0:00:00,533,537,518,519,780500
1686,2012/11/19,0:00:00,523,538,516,532,452800
1685,2012/11/20,0:00:00,540,559,539,559,689400
1684,2012/11/21,0:00:00,562,563,541,545,421800
1683,2012/11/22,0:00:00,546,546,498,520,2018700
1682,2012/11/26,0:00:00,520,533,514,526,449100
1681,2012/11/27,0:00:00,535,539,525,529,423000
1680,2012/11/28,0:00:00,529,552,528,543,693700
1679,2012/11/29,0:00:00,559,566,550,561,1149200
1678,2012/11/30,0:00:00,564,572,554,557,840500
1677,2012/12/3,0:00:00,561,563,536,538,670500
1676,2012/12/4,0:00:00,538,560,538,556,610300
1675,2012/12/5,0:00:00,560,570,556,570,657600
1674,2012/12/6,0:00:00,570,570,554,560,495600
1673,2012/12/7,0:00:00,562,576,559,571,667600
1672,2012/12/10,0:00:00,575,577,565,567,416700
1671,2012/12/11,0:00:00,566,600,556,594,1399400
1670,2012/12/12,0:00:00,600,604,588,592,978100
1669,2012/12/13,0:00:00,598,599,575,575,783000
1668,2012/12/14,0:00:00,570,574,550,557,843200
1667,2012/12/17,0:00:00,552,554,545,547,527700
1666,2012/12/18,0:00:00,541,545,531,540,538700
1665,2012/12/19,0:00:00,541,546,532,534,467200
1664,2012/12/20,0:00:00,534,536,521,521,486400
1663,2012/12/21,0:00:00,524,528,512,517,633900
1662,2012/12/25,0:00:00,517,517,509,509,343800
1661,2012/12/26,0:00:00,512,525,512,520,429900
1660,2012/12/27,0:00:00,522,534,520,526,419900
1659,2012/12/28,0:00:00,530,531,513,516,445800
1658,2013/1/4,0:00:00,521,523,512,521,372300
1657,2013/1/7,0:00:00,521,550,510,543,1091900
1656,2013/1/8,0:00:00,544,551,535,536,706100
1655,2013/1/9,0:00:00,535,555,530,551,775300
1654,2013/1/10,0:00:00,556,561,537,542,639600
1653,2013/1/11,0:00:00,548,550,535,543,485600
1652,2013/1/15,0:00:00,535,535,514,520,1454000
1651,2013/1/16,0:00:00,515,521,505,511,682400
1650,2013/1/17,0:00:00,507,513,501,505,377800
1649,2013/1/18,0:00:00,502,507,486,490,1076300
1648,2013/1/21,0:00:00,482,484,468,478,1119000
1647,2013/1/22,0:00:00,488,493,475,482,654900
1646,2013/1/23,0:00:00,480,489,480,488,414200
1645,2013/1/24,0:00:00,493,498,481,482,473200
1644,2013/1/25,0:00:00,482,486,476,481,549600
1643,2013/1/28,0:00:00,482,493,476,477,687900
1642,2013/1/29,0:00:00,479,485,478,482,499500
1641,2013/1/30,0:00:00,486,494,482,494,447000
1640,2013/1/31,0:00:00,498,499,486,494,415300
1639,2013/2/1,0:00:00,499,523,498,517,980900
1638,2013/2/4,0:00:00,523,542,507,514,833200
1637,2013/2/5,0:00:00,504,512,499,500,505300
1636,2013/2/6,0:00:00,506,517,499,507,727400
1635,2013/2/7,0:00:00,508,510,499,502,353400
1634,2013/2/8,0:00:00,486,500,485,491,537900
1633,2013/2/12,0:00:00,491,493,470,475,741200
1632,2013/2/13,0:00:00,467,471,450,454,720800
1631,2013/2/14,0:00:00,453,458,445,445,550300
1630,2013/2/15,0:00:00,452,453,412,430,697400
