date,open,high,low,close,volume
2019/1/4,6180,6360,6161,6346,10011900
2019/1/7,6495,6622,6478,6546,7677200
2019/1/8,6610,6687,6584,6626,7979300
2019/1/9,6712,6715,6629,6677,5494400
2019/1/10,6630,6714,6627,6704,6340400
2019/1/11,6730,6836,6729,6821,7895300
2019/1/15,6800,6905,6768,6892,7076200
2019/1/16,6850,6862,6814,6844,6633700
2019/1/17,6820,6862,6765,6790,5247600
2019/1/18,6820,6842,6797,6798,6627200
2019/1/21,6837,6881,6807,6817,5663600
2019/1/22,6820,6861,6769,6784,5189700
2019/1/23,6806,6829,6720,6720,6003000
2019/1/24,6713,6759,6676,6725,5393300
2019/1/25,6721,6792,6704,6764,5513400
2019/1/28,6740,6768,6689,6689,4862000
2019/1/29,6614,6676,6606,6676,4638100
2019/1/30,6677,6680,6613,6639,4934700
2019/1/31,6712,6730,6654,6675,4447400
2019/2/1,6642,6691,6623,6655,3808700
2019/2/4,6680,6738,6677,6726,4036800
2019/2/5,6785,6792,6738,6752,3804200
2019/2/6,6752,6805,6650,6703,8099200
2019/2/7,6622,6661,6501,6575,6973300
2019/2/8,6500,6506,6430,6449,6999700
2019/2/12,6478,6614,6468,6605,6192200
2019/2/13,6650,6668,6602,6625,4854400
2019/2/14,6659,6666,6602,6618,4453500
2019/2/15,6630,6637,6583,6605,4058500
2019/2/18,6666,6679,6639,6655,4333600
2019/2/19,6621,6700,6621,6697,3724400
2019/2/20,6687,6793,6686,6790,5212700
2019/2/21,6800,6808,6731,6731,5712800
2019/2/22,6671,6721,6669,6720,3759400
2019/2/25,6740,6775,6719,6774,3953400
2019/2/26,6800,6805,6767,6795,4752700
2019/2/27,6795,6805,6780,6780,4919300
2019/2/28,6760,6764,6692,6697,5355000
2019/3/1,6735,6744,6688,6688,4694000
2019/3/4,6745,6745,6615,6628,5040000
2019/3/5,6612,6626,6573,6608,4286200
2019/3/6,6605,6616,6570,6594,4347900
2019/3/7,6595,6632,6561,6584,4377700
2019/3/8,6523,6591,6519,6531,5716800
2019/3/11,6534,6602,6526,6578,3281100
2019/3/12,6633,6661,6612,6618,4681200
2019/3/13,6625,6649,6535,6585,4711900
2019/3/14,6607,6649,6542,6543,5021700
2019/3/15,6593,6655,6579,6615,7784700
2019/3/18,6632,6651,6608,6650,3519000
2019/3/19,6680,6701,6650,6663,3532800
2019/3/20,6695,6726,6678,6721,3940800
2019/3/22,6722,6761,6695,6753,4803100
