Date,Open,High,Low,Close,Adj Close,Volume
2019/8/13,20432.67969,20503.38086,20369.26953,20455.43945,20455.43945,72900
2019/8/14,20669.99023,20697.41992,20581.16992,20655.13086,20655.13086,60900
2019/8/15,20324.25,20419.88086,20184.84961,20405.65039,20405.65039,68200
2019/8/16,20323.9707,20465.71094,20300.34961,20418.81055,20418.81055,58400
2019/8/19,20590.4707,20633.90039,20502.66016,20563.16016,20563.16016,50600
2019/8/20,20605.34961,20684.06055,20582.00977,20677.2207,20677.2207,50100
2019/8/21,20489.9707,20626.05078,20482.61914,20618.57031,20618.57031,53000
2019/8/22,20706.07031,20731.18945,20584.28906,20628.00977,20628.00977,54600
2019/8/23,20579.98047,20719.31055,20579.98047,20710.91016,20710.91016,50700
2019/8/26,20325.43945,20329.00977,20173.75977,20261.03906,20261.03906,69900
2019/8/27,20467.2207,20529.93945,20439.91992,20456.08008,20456.08008,60800
2019/8/28,20474.31055,20511.21094,20433.31055,20479.41992,20479.41992,51500
2019/8/29,20500.5,20520.67969,20361.11914,20460.92969,20460.92969,55100
2019/8/30,20641.49023,20748.34961,20633.30078,20704.36914,20704.36914,72000
2019/9/2,20625.75,20667.56055,20614.28906,20620.18945,20620.18945,42400
2019/9/3,20581.58008,20662.23047,20578.01953,20625.16016,20625.16016,0
2019/9/4,20578.66992,20694.34961,20554.16016,20649.14063,20649.14063,51500
2019/9/5,20800.28906,21164.60938,20787.92969,21085.93945,21085.93945,83000
2019/9/6,21201.83008,21241.28906,21145.81055,21199.57031,21199.57031,71100
2019/9/9,21214.56055,21333.50977,21182.25977,21318.41992,21318.41992,57800
2019/9/10,21363.57031,21438.34961,21350.34961,21392.09961,21392.09961,92400
2019/9/11,21466.66016,21619.21094,21437.82031,21597.75977,21597.75977,110100
2019/9/12,21761.08984,21825.91992,21743.96094,21759.60938,21759.60938,96000
2019/9/13,21907.83008,22019.66016,21820.93945,21988.28906,21988.28906,116300
2019/9/17,21947.58984,22041.08008,21878.63086,22001.32031,22001.32031,81500
2019/9/18,22014.65039,22027.85938,21942.0293,21960.71094,21960.71094,69400
2019/9/19,22064.46094,22255.56055,22003.30078,22044.44922,22044.44922,78200
2019/9/20,22130.74023,22204.75,22047.90039,22079.08984,22079.08984,85000
2019/9/24,22095.34961,22168.74023,22077.93945,22098.83984,22098.83984,68400
2019/9/25,21961.82031,22036.48047,21906,22020.15039,22020.15039,61600
2019/9/26,22160.51953,22184.91016,21986.24023,22048.24023,22048.24023,81600
2019/9/27,21934.92969,21955.78906,21733.68945,21878.90039,21878.90039,76400
2019/9/30,21793.83008,21811.98047,21666.59961,21755.83984,21755.83984,69900
2019/10/1,21831.43945,21938.76953,21811.98047,21885.24023,21885.24023,62300
2019/10/2,21744.61914,21795.00977,21725.23047,21778.60938,21778.60938,63300
2019/10/3,21422.2207,21437.74023,21277.35938,21341.74023,21341.74023,67700
2019/10/4,21316.17969,21410.19922,21276.00977,21410.19922,21410.19922,57700
2019/10/7,21445.73047,21475.2793,21328.25977,21375.25,21375.25,47400
2019/10/8,21494.48047,21629.24023,21483.17969,21587.7793,21587.7793,60800
